jobUrl,jobId,companyName,companyUrl,jobTitle,logoUrl,location,insights,postDate,isEasyApply,isPromoted,applicantCount,url,query,category,timestamp,isRemote
https://www.linkedin.com/jobs/view/2953671365/,2953671365,Deloitte Consulting,https://www.linkedin.com/company/18026670/,Manager/Senior Manager – Cloud Engineering – Government & Public Services,https://media-exp1.licdn.com/dms/image/C4E0BAQH-bTeL0B6C7Q/company-logo_100_100/0/1519898002689?e=1655337600&v=beta&t=m0I_ftgFuZ5tmUsbCimrWQV15zUaSPEC6G6-1U0zops,"Singapore, Singapore",1 company alumnus works here,2022-03-14,true,false,0,https://www.linkedin.com/jobs/view/2953671365/,cloud,Jobs,2022-03-14T03:57:06.866Z,
https://www.linkedin.com/jobs/view/2959951668/,2959951668,Quinnox Solutions,https://www.linkedin.com/company/478512/,Cloud Data Engineer,https://media-exp1.licdn.com/dms/image/C4E0BAQFYoK_lIFeOjQ/company-logo_100_100/0/1519878054318?e=1655337600&v=beta&t=VUDa6jcHbddlhGQgOFhvnt0XN7Ikla1ty3YDdIMcvtI,Singapore,You have a preferred skill badge,,true,true,0,https://www.linkedin.com/jobs/view/2959951668/,cloud,Jobs,2022-03-14T03:57:06.866Z,true
https://www.linkedin.com/jobs/view/2738024091/,2738024091,Amazon Web Services (AWS),https://www.linkedin.com/company/2382910/,CLOUD ECONOMICS BDM – ASEAN,https://media-exp1.licdn.com/dms/image/C560BAQE_4UwvNNtNTQ/company-logo_100_100/0/1640205885683?e=1655337600&v=beta&t=fa6Fs3S3vkaLGKRk1Q4GLMx8uc1yP8UXtzxFxcTgAZo,"Singapore, Singapore",1 connection works here,,false,true,0,https://www.linkedin.com/jobs/view/2738024091/,cloud,Jobs,2022-03-14T03:57:06.866Z,
https://www.linkedin.com/jobs/view/2938193685/,2938193685,China Telecom Asia Pacific,https://www.linkedin.com/company/1240585/,Junior Cloud Consultant,https://media-exp1.licdn.com/dms/image/C510BAQHsiTjxuC9-Zw/company-logo_100_100/0/1586164717906?e=1655337600&v=beta&t=WMzdwuKHPzKMINzEfL6VQPuu3F9eaQxr_8lqzd_RXcs,"Singapore, Singapore",2 alumni work here,,true,true,20,https://www.linkedin.com/jobs/view/2938193685/,cloud,Jobs,2022-03-14T03:57:06.866Z,
https://www.linkedin.com/jobs/view/2937689258/,2937689258,ByteDance,https://www.linkedin.com/company/6575553/,"Cloud Communication Customer Operations, Byteplus",https://media-exp1.licdn.com/dms/image/C560BAQGA-1ynUGnhlA/company-logo_100_100/0/1600334313022?e=1655337600&v=beta&t=QnFd_BmlYXUBHyCAOJ3Kz7o8utjflrN3f8s0vlBccJw,"Singapore, Singapore",1 connection works here,,false,true,1,https://www.linkedin.com/jobs/view/2937689258/,cloud,Jobs,2022-03-14T03:57:06.866Z,
https://www.linkedin.com/jobs/view/2946227976/,2946227976,Orange Business Services,https://www.linkedin.com/company/1112/,"Lead for Cloud Strategic Projects, APAC",https://media-exp1.licdn.com/dms/image/C4D0BAQGcL-z5YkeJkw/company-logo_100_100/0/1523527834217?e=1655337600&v=beta&t=1KBWMGzvGpEEurrh5WFUwu3ReLipzUarlI8Rr7LQ67k,"Singapore, Singapore",2 alumni work here,,true,true,0,https://www.linkedin.com/jobs/view/2946227976/,cloud,Jobs,2022-03-14T03:57:06.866Z,
https://www.linkedin.com/jobs/view/2950825342/,2950825342,Dell Technologies,https://www.linkedin.com/company/15088102/,Internship - Storage Engineering Data Scientist,https://media-exp1.licdn.com/dms/image/C4E0BAQHd5Km8_W6GVA/company-logo_100_100/0/1614178926580?e=1655337600&v=beta&t=ROPKEnhdUMNpZcIfwGZBUoe2Xp6GmBtouSgY4ZBwiGM,"Singapore, Singapore",50 alumni work here,2022-03-10,false,false,20,https://www.linkedin.com/jobs/view/2950825342/,cloud,Jobs,2022-03-14T03:57:06.867Z,
https://www.linkedin.com/jobs/view/2874663440/,2874663440,GSK,https://www.linkedin.com/company/1399/,Intern - Digital Data,https://media-exp1.licdn.com/dms/image/C4D0BAQG4ovK53tF0Yg/company-logo_100_100/0/1604681074315?e=1655337600&v=beta&t=c9BFPXX-pj-ZYzVLYKqvVmISoxzPEPpqnkmAp0jy_7U,"Singapore, Singapore",26 alumni work here,2022-01-14,false,false,0,https://www.linkedin.com/jobs/view/2874663440/,cloud,Jobs,2022-03-14T03:57:06.867Z,
https://www.linkedin.com/jobs/view/2886302054/,2886302054,FDM Group,https://www.linkedin.com/company/15776/,AWS Cloud Consultant Graduate Programme (Fresh Grads are Welcomed To Apply!),https://media-exp1.licdn.com/dms/image/C4D0BAQFBYHHoVlMnlQ/company-logo_100_100/0/1625479362419?e=1655337600&v=beta&t=YqOOvxFqE4SN9apYDE2gEfse0AKeVdNwpjBsrJDrHa4,"Singapore, Singapore",17 alumni work here,,true,true,0,https://www.linkedin.com/jobs/view/2886302054/,cloud,Jobs,2022-03-14T03:57:06.867Z,
https://www.linkedin.com/jobs/view/2935664418/,2935664418,Ingram Micro Cloud,https://www.linkedin.com/company/4824050/,"Digital Marketing Executive, Cloud",https://media-exp1.licdn.com/dms/image/C4E0BAQFT1rgoKtp7Lg/company-logo_100_100/0/1600739300611?e=1655337600&v=beta&t=CQrT7hoRGY9x9v7kk-hdOaNseoapjKTby7IrJOLHmRw,"Singapore, Singapore",Actively recruiting,,false,true,20,https://www.linkedin.com/jobs/view/2935664418/,cloud,Jobs,2022-03-14T03:57:06.867Z,
