job_title,company,url
Cloud Kitchen Helper,Jobshine Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=4676800&searchId=b59972d9-6969-4f2f-b503-16a051718644
APJ Cloud Sales Centre (CSC) Strategy & Operations Manager,Amazon,https://www.monster.com.sg/seeker/job-details?id=3936933&searchId=b59972d9-6969-4f2f-b503-16a051718644
Cloud Engineer - Azure,Crayon Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5607038&searchId=b59972d9-6969-4f2f-b503-16a051718644
Cloud Solutions Architect,Anotech Energy Singapore Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5598419&searchId=b59972d9-6969-4f2f-b503-16a051718644
AWS Cloud Engineer,Ikas International (asia) Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5597131&searchId=b59972d9-6969-4f2f-b503-16a051718644
"System Administrator (Windows, VMware, Linux, Cloud), Up to $7k",Recruit Express Pte. Ltd,https://www.monster.com.sg/seeker/job-details?id=5555863&searchId=b59972d9-6969-4f2f-b503-16a051718644
Cloud Platform Incident Manager - Associate,JP Morgan Chase & Co.,https://www.monster.com.sg/seeker/job-details?id=5582768&searchId=b59972d9-6969-4f2f-b503-16a051718644
AWS Cloud Operations Engineer,Oliver James Associates (singapore) Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5602350&searchId=b59972d9-6969-4f2f-b503-16a051718644
Cloud Enterprise Chapter Manager,Kpmg Services Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5598551&searchId=b59972d9-6969-4f2f-b503-16a051718644
"Senior / Cloud Engineer, APAC",Delivery Hero Apac Pte. Limited,https://www.monster.com.sg/seeker/job-details?id=5599820&searchId=b59972d9-6969-4f2f-b503-16a051718644
Sr. Partner Cloud Architect,Neo4j Singapore Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5600932&searchId=b59972d9-6969-4f2f-b503-16a051718644
Cloud Infrastructure Engineer,Government Technology Agency of Singapore,https://www.monster.com.sg/seeker/cjt/job-vacancy-cloud-infrastructure-engineer-government-technology-agency-of-singapore-singapore-8-15-years-33395641
Cloud Application Architect,Amazon,https://www.monster.com.sg/seeker/job-details?id=4449783&searchId=b59972d9-6969-4f2f-b503-16a051718644
Global Infrastructure - Lead Engineer Cloud Team,Randstad Pte. Limited,https://www.monster.com.sg/seeker/job-details?id=4851527&searchId=b59972d9-6969-4f2f-b503-16a051718644
Cloud Solution Architect - Data & Analytics,Microsoft,https://www.monster.com.sg/seeker/job-details?id=5580436&searchId=b59972d9-6969-4f2f-b503-16a051718644
Azure DevOps & Cloud Architect,Intellectuals Technologies Pte. Ltd,https://www.monster.com.sg/seeker/job-details?id=5582977&searchId=b59972d9-6969-4f2f-b503-16a051718644
IT Cloud Architect,Ca Search Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5586587&searchId=b59972d9-6969-4f2f-b503-16a051718644
Cloud Engineer - Azure,Rhipe Singapore Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5586174&searchId=b59972d9-6969-4f2f-b503-16a051718644
Cloud Solution Architect,Persolkelly Singapore Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5588610&searchId=b59972d9-6969-4f2f-b503-16a051718644
Cloud Service Engineer,Persolkelly Singapore Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5588616&searchId=b59972d9-6969-4f2f-b503-16a051718644
"Consultant - Advertising, Marketing and Commerce (Salesforce Marketing Cloud) - SG",Deloitte,https://www.monster.com.sg/seeker/job-details?id=5067777&searchId=b59972d9-6969-4f2f-b503-16a051718644
"Sales Representative, Small/Medium Businesses, Google Cloud - Singapore",Google Asia Pacific Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5560449&searchId=b59972d9-6969-4f2f-b503-16a051718644
Cloud Enterprise DevOps Senior Engineer,Kpmg Services Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5598549&searchId=b59972d9-6969-4f2f-b503-16a051718644
IS Cloud Applications Services Specialist,Flintex Consulting Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5600199&searchId=b59972d9-6969-4f2f-b503-16a051718644
"System Engineer (APAC) – Perm, Jurong Island",GMP Technologies,https://www.monster.com.sg/seeker/cjt/job-vacancy-system-engineer-apac-perm-jurong-island-gmp-technologies-singapore-3-10-years-30828417
Senior Cloud App Developer,Amazon,https://www.monster.com.sg/seeker/job-details?id=4449778&searchId=b59972d9-6969-4f2f-b503-16a051718644
Network Engineer,Doo Capital Market Sg Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5597270&searchId=b59972d9-6969-4f2f-b503-16a051718644
Solution Architect - Cloud,Elliott Moss Consulting Pte Ltd,https://www.monster.com.sg/seeker/job-details?id=5569658&searchId=b59972d9-6969-4f2f-b503-16a051718644
Cloud Architect,Upper Spring Consulting Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5572759&searchId=b59972d9-6969-4f2f-b503-16a051718644
Cloud Devops,Tata Consultancy Services Asia Pacific Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5577399&searchId=b59972d9-6969-4f2f-b503-16a051718644
Cloud Engineer,Oversea-chinese Banking Corporation Limited,https://www.monster.com.sg/seeker/job-details?id=5575830&searchId=b59972d9-6969-4f2f-b503-16a051718644
