Source,Target,Type,Weight
11796,224,undirected,1
11796,225,undirected,1
11796,226,undirected,1
11796,101,undirected,1
11796,227,undirected,1
11796,228,undirected,1
11796,229,undirected,1
11796,102,undirected,1
11796,230,undirected,1
11796,3,undirected,1
11796,231,undirected,1
11796,107,undirected,1
11796,232,undirected,1
11796,110,undirected,1
11796,233,undirected,1
11796,234,undirected,1
11796,33,undirected,1
11796,235,undirected,1
11796,236,undirected,1
11796,237,undirected,1
11796,35,undirected,1
11796,146,undirected,1
11796,238,undirected,1
11796,239,undirected,1
11796,240,undirected,1
11796,241,undirected,1
11796,242,undirected,1
11796,79,undirected,1
11796,243,undirected,1
11796,244,undirected,1
11796,152,undirected,1
11796,245,undirected,1
11796,246,undirected,1
11796,247,undirected,1
11796,248,undirected,1
11796,249,undirected,1
11796,250,undirected,1
11796,251,undirected,1
11796,252,undirected,1
11796,253,undirected,1
11796,254,undirected,1
11796,255,undirected,1
11796,156,undirected,1
11796,124,undirected,1
11796,45,undirected,1
11796,256,undirected,1
11796,257,undirected,1
11796,258,undirected,1
11796,259,undirected,1
11796,125,undirected,1
11796,260,undirected,1
11796,261,undirected,1
11796,262,undirected,1
11796,263,undirected,1
11796,264,undirected,1
11796,265,undirected,1
11796,132,undirected,1
11796,131,undirected,1
11796,266,undirected,1
11796,133,undirected,1
11796,267,undirected,1
11796,213,undirected,1
11796,268,undirected,1
11796,269,undirected,1
11796,270,undirected,1
11796,271,undirected,1
11796,272,undirected,1
11796,200,undirected,1
11797,224,undirected,1
11797,102,undirected,1
11797,67,undirected,1
11797,273,undirected,1
11797,274,undirected,1
11797,3,undirected,1
11797,275,undirected,1
11797,276,undirected,1
11797,277,undirected,1
11797,33,undirected,1
11797,236,undirected,1
11797,35,undirected,1
11797,278,undirected,1
11797,146,undirected,1
11797,279,undirected,1
11797,119,undirected,1
11797,280,undirected,1
11797,80,undirected,1
11797,281,undirected,1
11797,282,undirected,1
11797,122,undirected,1
11797,14,undirected,1
11797,283,undirected,1
11797,284,undirected,1
11797,285,undirected,1
11797,286,undirected,1
11797,287,undirected,1
11797,288,undirected,1
11797,124,undirected,1
11797,289,undirected,1
11797,25,undirected,1
11797,91,undirected,1
11797,125,undirected,1
11797,54,undirected,1
11797,290,undirected,1
11797,291,undirected,1
11797,292,undirected,1
11797,293,undirected,1
11797,294,undirected,1
11797,295,undirected,1
11797,296,undirected,1
11797,297,undirected,1
11797,298,undirected,1
11797,299,undirected,1
11797,200,undirected,1
11798,300,undirected,1
11798,301,undirected,1
11798,302,undirected,1
11798,303,undirected,1
11798,304,undirected,1
11798,305,undirected,1
11798,306,undirected,1
11798,307,undirected,1
11798,308,undirected,1
11798,309,undirected,1
11798,310,undirected,1
11798,3,undirected,1
11798,301,undirected,1
11798,311,undirected,1
11798,73,undirected,1
11798,14,undirected,1
11798,312,undirected,1
11798,313,undirected,1
11798,314,undirected,1
11798,315,undirected,1
11798,316,undirected,1
11798,317,undirected,1
11798,314,undirected,1
11798,318,undirected,1
11798,285,undirected,1
11798,319,undirected,1
11798,320,undirected,1
11798,321,undirected,1
11798,322,undirected,1
11798,323,undirected,1
11798,324,undirected,1
11798,325,undirected,1
11798,326,undirected,1
11798,327,undirected,1
11798,328,undirected,1
11798,329,undirected,1
11798,330,undirected,1
11798,331,undirected,1
11798,90,undirected,1
11798,332,undirected,1
11798,333,undirected,1
11798,54,undirected,1
11798,334,undirected,1
11798,335,undirected,1
