Source,Target,Type,Weight
6672,230,undirected,1
6672,167,undirected,1
6672,231,undirected,1
6672,131,undirected,1
6673,232,undirected,1
6673,99,undirected,1
6673,233,undirected,1
6673,234,undirected,1
6673,235,undirected,1
6673,71,undirected,1
6673,236,undirected,1
6673,237,undirected,1
6673,238,undirected,1
6673,21,undirected,1
6673,239,undirected,1
6673,177,undirected,1
6673,240,undirected,1
6673,178,undirected,1
6673,241,undirected,1
6673,149,undirected,1
6673,106,undirected,1
6673,151,undirected,1
6673,242,undirected,1
6673,243,undirected,1
6673,153,undirected,1
6673,81,undirected,1
6673,244,undirected,1
6673,245,undirected,1
6673,246,undirected,1
6673,247,undirected,1
6673,248,undirected,1
6673,249,undirected,1
6673,155,undirected,1
6673,250,undirected,1
6673,92,undirected,1
6673,251,undirected,1
6673,156,undirected,1
6673,57,undirected,1
6673,252,undirected,1
6673,253,undirected,1
6673,254,undirected,1
6673,255,undirected,1
6673,256,undirected,1
6673,5,undirected,1
6673,257,undirected,1
6673,258,undirected,1
6673,259,undirected,1
6673,260,undirected,1
6673,131,undirected,1
6674,261,undirected,1
6674,262,undirected,1
6674,263,undirected,1
6674,264,undirected,1
6674,10,undirected,1
6674,265,undirected,1
6674,99,undirected,1
6674,266,undirected,1
6674,131,undirected,1
6674,267,undirected,1
6674,268,undirected,1
6674,269,undirected,1
6674,270,undirected,1
6674,71,undirected,1
6674,271,undirected,1
6674,137,undirected,1
6674,138,undirected,1
6674,272,undirected,1
6674,273,undirected,1
6674,263,undirected,1
6674,274,undirected,1
6674,239,undirected,1
6674,275,undirected,1
6674,27,undirected,1
6674,276,undirected,1
6674,81,undirected,1
6674,277,undirected,1
6674,278,undirected,1
6674,279,undirected,1
6674,280,undirected,1
6674,149,undirected,1
6674,281,undirected,1
6674,282,undirected,1
6674,283,undirected,1
6674,284,undirected,1
6674,185,undirected,1
6674,285,undirected,1
6674,286,undirected,1
6674,287,undirected,1
6674,38,undirected,1
6674,288,undirected,1
6674,289,undirected,1
6674,290,undirected,1
6674,291,undirected,1
6674,292,undirected,1
6674,293,undirected,1
6674,294,undirected,1
6674,295,undirected,1
6674,296,undirected,1
6674,297,undirected,1
6674,298,undirected,1
6674,299,undirected,1
