Source,Target,Type,Weight
15,5249,undirected,1
15,5141,undirected,1
15,5244,undirected,1
15,5250,undirected,1
15,5074,undirected,1
15,5251,undirected,1
15,5145,undirected,1
15,5252,undirected,1
15,5253,undirected,1
15,5079,undirected,1
15,5254,undirected,1
15,5255,undirected,1
15,5211,undirected,1
15,5241,undirected,1
15,5115,undirected,1
16,5256,undirected,1
16,5257,undirected,1
16,5258,undirected,1
16,5259,undirected,1
16,5260,undirected,1
16,5261,undirected,1
16,5262,undirected,1
16,5263,undirected,1
16,5111,undirected,1
16,5264,undirected,1
16,5265,undirected,1
16,5266,undirected,1
16,5267,undirected,1
16,5268,undirected,1
16,5269,undirected,1
17,5270,undirected,1
17,5271,undirected,1
17,5107,undirected,1
17,5272,undirected,1
17,5273,undirected,1
17,5274,undirected,1
17,5074,undirected,1
17,5275,undirected,1
17,5276,undirected,1
17,5255,undirected,1
18,5277,undirected,1
18,5278,undirected,1
18,5279,undirected,1
18,5280,undirected,1
18,5074,undirected,1
18,5251,undirected,1
18,5115,undirected,1
18,5145,undirected,1
18,5281,undirected,1
18,5282,undirected,1
18,5283,undirected,1
18,5211,undirected,1
18,5254,undirected,1
18,5284,undirected,1
19,5285,undirected,1
19,5286,undirected,1
19,5143,undirected,1
19,5232,undirected,1
19,5287,undirected,1
19,5288,undirected,1
19,5289,undirected,1
19,5290,undirected,1
19,5074,undirected,1
19,5291,undirected,1
19,5292,undirected,1
19,5293,undirected,1
19,5294,undirected,1
19,5295,undirected,1
19,5296,undirected,1
19,5135,undirected,1
19,5297,undirected,1
19,5298,undirected,1
20,5299,undirected,1
20,5300,undirected,1
20,5301,undirected,1
20,5302,undirected,1
20,5303,undirected,1
20,5304,undirected,1
20,5305,undirected,1
20,5306,undirected,1
20,5074,undirected,1
20,5251,undirected,1
20,5079,undirected,1
20,5307,undirected,1
20,5174,undirected,1
20,5083,undirected,1
20,5265,undirected,1
20,5308,undirected,1
20,5309,undirected,1
20,5310,undirected,1
21,5311,undirected,1
21,5312,undirected,1
21,5272,undirected,1
21,5313,undirected,1
21,5074,undirected,1
21,5180,undirected,1
21,5081,undirected,1
21,5314,undirected,1
21,5240,undirected,1
21,5294,undirected,1
21,5079,undirected,1
21,5315,undirected,1
21,5316,undirected,1
21,5317,undirected,1
21,5318,undirected,1
21,5319,undirected,1
21,5272,undirected,1
21,5244,undirected,1
21,5313,undirected,1
21,5074,undirected,1
21,5180,undirected,1
21,5081,undirected,1
21,5314,undirected,1
21,5240,undirected,1
21,5079,undirected,1
21,5315,undirected,1
21,5316,undirected,1
21,5320,undirected,1
21,5317,undirected,1
21,5318,undirected,1
22,5321,undirected,1
22,5322,undirected,1
22,5290,undirected,1
22,5323,undirected,1
22,5324,undirected,1
22,5111,undirected,1
22,5235,undirected,1
23,5325,undirected,1
23,5326,undirected,1
23,5327,undirected,1
23,5328,undirected,1
23,5329,undirected,1
23,5330,undirected,1
23,5331,undirected,1
23,5332,undirected,1
23,5105,undirected,1
23,5141,undirected,1
23,5272,undirected,1
23,5074,undirected,1
23,5333,undirected,1
23,5229,undirected,1
23,5099,undirected,1
23,5334,undirected,1
23,5335,undirected,1
23,5336,undirected,1
23,5337,undirected,1
23,5338,undirected,1
24,5339,undirected,1
24,5272,undirected,1
24,5340,undirected,1
24,5341,undirected,1
24,5342,undirected,1
24,5343,undirected,1
24,5344,undirected,1
24,5345,undirected,1
24,5111,undirected,1
24,5098,undirected,1
24,5346,undirected,1
25,5347,undirected,1
25,5348,undirected,1
25,5089,undirected,1
25,5079,undirected,1
25,5248,undirected,1
25,5130,undirected,1
25,5119,undirected,1
25,5074,undirected,1
25,5349,undirected,1
25,5099,undirected,1
25,5350,undirected,1
25,5300,undirected,1
25,5194,undirected,1
25,5351,undirected,1
25,5352,undirected,1
25,5353,undirected,1
25,5354,undirected,1
25,5355,undirected,1
25,5356,undirected,1
26,5357,undirected,1
26,5271,undirected,1
26,5358,undirected,1
26,5359,undirected,1
26,5360,undirected,1
26,5094,undirected,1
26,5074,undirected,1
26,5361,undirected,1
26,5262,undirected,1
26,5079,undirected,1
26,5247,undirected,1
26,5362,undirected,1
26,5363,undirected,1
26,5364,undirected,1
26,5365,undirected,1
26,5186,undirected,1
27,5366,undirected,1
27,5367,undirected,1
27,5368,undirected,1
27,5369,undirected,1
27,5074,undirected,1
27,5251,undirected,1
27,5370,undirected,1
27,5292,undirected,1
27,5371,undirected,1
27,5172,undirected,1
27,5372,undirected,1
27,5174,undirected,1
27,5112,undirected,1
27,5373,undirected,1
27,5115,undirected,1
27,5212,undirected,1
28,5374,undirected,1
28,5375,undirected,1
28,5338,undirected,1
28,5376,undirected,1
28,5284,undirected,1
28,5328,undirected,1
28,5180,undirected,1
28,5377,undirected,1
28,5378,undirected,1
28,5379,undirected,1
28,5111,undirected,1
28,5380,undirected,1
28,5381,undirected,1
28,5105,undirected,1
28,5115,undirected,1
28,5382,undirected,1
28,5374,undirected,1
28,5375,undirected,1
28,5338,undirected,1
28,5376,undirected,1
28,5284,undirected,1
28,5328,undirected,1
28,5180,undirected,1
28,5377,undirected,1
28,5378,undirected,1
28,5379,undirected,1
28,5111,undirected,1
28,5380,undirected,1
28,5381,undirected,1
28,5105,undirected,1
28,5115,undirected,1
28,5382,undirected,1
29,5149,undirected,1
29,5224,undirected,1
29,5383,undirected,1
29,5384,undirected,1
29,5385,undirected,1
29,5074,undirected,1
